Time,axis_2_enc_position_resolver_motor,axis_2_actual_position,axis_2_raw_position_resolver_motor,raw_position_2_ext
28596,242.51220703125,-91.63877756289395,-6515110.0,1572
28695,242.51220703125,-91.63877756289395,-6515110.0,1572
28795,242.51220703125,-95.8600185990705,-6515110.0,1572
28899,242.51220703125,-95.8600185990705,-6515110.0,1572
28994,242.51220703125,-95.8600185990705,-6820231.0,1411
29096,242.51220703125,-95.8600185990705,-6820231.0,1411
29196,242.51220703125,-95.8600185990705,-6820231.0,1411
29295,48.658447265625,-95.8600185990705,-6820231.0,1411
29396,48.658447265625,-95.8600185990705,-6820231.0,1411
29496,48.658447265625,-95.8600185990705,-6820231.0,1411
29600,48.658447265625,-95.8600185990705,-6820231.0,1411
29695,48.658447265625,-95.8600185990705,-6820231.0,1411
29797,48.658447265625,-95.8600185990705,-6820231.0,1411
29897,48.658447265625,-95.8600185990705,-6820231.0,1411
29997,48.658447265625,-100.40010636022613,-6820231.0,1411
30097,48.658447265625,-100.40010636022613,-6820231.0,1411
30194,94.405517578125,-100.40010636022613,-7132147.0,1411
30297,94.405517578125,-100.40010636022613,-7132147.0,1411
30395,94.405517578125,-100.40010636022613,-7132147.0,1411
30497,94.405517578125,-100.40010636022613,-7132147.0,1411
30599,94.405517578125,-100.40010636022613,-7132147.0,1411
30695,94.405517578125,-104.35788006029911,-7132147.0,1411
30798,94.405517578125,-104.35788006029911,-7132147.0,1411
30899,94.405517578125,-104.35788006029911,-7132147.0,1411
30993,94.405517578125,-104.35788006029911,-7408431.0,1251
31098,94.405517578125,-104.35788006029911,-7408431.0,1251
31195,64.8907470703125,-104.35788006029911,-7408431.0,1251
31297,64.8907470703125,-104.35788006029911,-7408431.0,1251
31399,64.8907470703125,-104.35788006029911,-7408431.0,1251
31494,64.8907470703125,-104.35788006029911,-7408431.0,1251
31596,64.8907470703125,-104.35788006029911,-7408431.0,1251
31697,64.8907470703125,-108.38490283982212,-7692508.0,1251
31799,64.8907470703125,-108.38490283982212,-7692508.0,1251
31897,64.8907470703125,-108.38490283982212,-7692508.0,1251
31994,264.4134521484375,-108.38490283982212,-7692508.0,1251
32097,264.4134521484375,-108.38490283982212,-7692508.0,1251
32194,264.4134521484375,-108.38490283982212,-7692508.0,1251
32301,264.4134521484375,-108.38490283982212,-7692508.0,1251
32396,264.4134521484375,-112.75435223792127,-7692508.0,1251
32493,264.4134521484375,-112.75435223792127,-7692508.0,1251
32597,264.4134521484375,-112.75435223792127,-7692508.0,1251
32701,264.4134521484375,-112.75435223792127,-8000556.0,1251
32796,264.4134521484375,-112.75435223792127,-8000556.0,1251
32897,11.832275390625,-112.75435223792127,-8000556.0,1096
32994,11.832275390625,-112.75435223792127,-8000556.0,1096
33097,11.832275390625,-112.75435223792127,-8000556.0,1096
33197,11.832275390625,-112.75435223792127,-8000556.0,1096
33302,11.832275390625,-112.75435223792127,-8000556.0,1096
33399,11.832275390625,-112.75435223792127,-8000556.0,1096
33494,11.832275390625,-116.76300513043971,-8000556.0,1096
33596,11.832275390625,-116.76300513043971,-8000556.0,1096
33694,218.60595703125,-116.76300513043971,-8281369.0,1096
33799,218.60595703125,-116.76300513043971,-8281369.0,1096
33895,218.60595703125,-116.76300513043971,-8281369.0,1096
33994,218.60595703125,-116.76300513043971,-8281369.0,1096
34098,218.60595703125,-116.76300513043971,-8281369.0,1096
34206,218.60595703125,-116.76300513043971,-8281369.0,1096
34296,218.60595703125,-116.76300513043971,-8281369.0,1096
34401,218.60595703125,-116.76300513043971,-8281369.0,1096
34495,218.60595703125,-121.05900337292702,-8281369.0,1096
34615,218.60595703125,-121.05900337292702,-8281369.0,1096
34694,218.60595703125,-121.05900337292702,-8281369.0,1096
34815,218.60595703125,-121.05900337292702,-8588893.0,1096
34905,218.60595703125,-121.05900337292702,-8588893.0,1096
35002,339.8126220703125,-121.05900337292702,-8588893.0,963
35103,339.8126220703125,-121.05900337292702,-8588893.0,963
35196,339.8126220703125,-121.05900337292702,-8588893.0,963
35294,339.8126220703125,-121.05900337292702,-8588893.0,963
35399,339.8126220703125,-121.05900337292702,-8588893.0,963
35494,339.8126220703125,-121.05900337292702,-8588893.0,963
35603,339.8126220703125,-121.05900337292702,-8588893.0,963
35698,339.8126220703125,-121.05900337292702,-8588893.0,963
35795,339.8126220703125,-121.92961392959627,-8588893.0,963
35897,339.8126220703125,-121.92961392959627,-8588893.0,963
35996,339.8126220703125,-121.92961392959627,-8588887.0,963
36100,339.8126220703125,-121.92961392959627,-8588887.0,963
36204,339.7796630859375,-121.92961392959627,-8588887.0,963
36296,339.7796630859375,-121.92961392959627,-8588887.0,963
36397,339.7796630859375,-121.92961392959627,-8588887.0,963
36493,339.7796630859375,-121.92961392959627,-8588887.0,963
36595,339.7796630859375,-121.92961392959627,-8588887.0,963
36698,339.7796630859375,-123.97585466594902,-8588887.0,963
36796,339.7796630859375,-123.97585466594902,-8588887.0,963
36897,339.7796630859375,-123.97585466594902,-8588887.0,963
36993,339.7796630859375,-123.97585466594902,-8812724.0,963
37097,339.7796630859375,-123.97585466594902,-8812724.0,963
37192,219.66064453125,-123.97585466594902,-8812724.0,900
37294,219.66064453125,-123.97585466594902,-8812724.0,900
37396,219.66064453125,-123.97585466594902,-8812724.0,900
37497,219.66064453125,-123.97585466594902,-8812724.0,900
37596,219.66064453125,-128.3193959931182,-8812724.0,900
37701,219.66064453125,-128.3193959931182,-8812724.0,900
37797,219.66064453125,-128.3193959931182,-8812724.0,900
37898,195.4083251953125,-128.3193959931182,-9084649.0,900
37999,195.4083251953125,-128.3193959931182,-9084649.0,900
38100,195.4083251953125,-128.3193959931182,-9084649.0,900
38193,195.4083251953125,-128.3193959931182,-9084649.0,900
38297,195.4083251953125,-128.3193959931182,-9084649.0,900
