Time,axis_3_raw_position_resolver_motor,axis_3_actual_position,raw_position_3_ext
40817,-5728844.0,-65.07786062773656,678
40917,-5728844.0,-65.07786062773656,678
41018,-5728844.0,-66.36576514065945,678
41117,-5728844.0,-66.36576514065945,678
41217,-5728844.0,-66.36576514065945,678
41316,-5834564.0,-66.36576514065945,678
41418,-5834564.0,-66.36576514065945,678
41517,-5834564.0,-66.36576514065945,678
41617,-5834564.0,-66.36576514065945,678
41717,-5834564.0,-67.77956132851502,678
41817,-5834564.0,-67.77956132851502,678
41918,-5834564.0,-67.77956132851502,678
42017,-5961258.0,-67.77956132851502,678
42118,-5961258.0,-67.77956132851502,678
42217,-5961258.0,-67.77956132851502,678
42318,-5961258.0,-67.77956132851502,678
42417,-5961258.0,-69.14696795381596,577
42517,-5961258.0,-69.14696795381596,577
42618,-5961258.0,-69.14696795381596,577
42717,-6082308.0,-69.14696795381596,577
42817,-6082308.0,-69.14696795381596,577
42916,-6082308.0,-69.14696795381596,577
43018,-6082308.0,-69.14696795381596,577
43117,-6082308.0,-70.37053265719577,577
43217,-6082308.0,-70.37053265719577,577
43317,-6082308.0,-70.37053265719577,577
43418,-6185149.0,-70.37053265719577,577
43517,-6185149.0,-70.37053265719577,577
43617,-6185149.0,-70.37053265719577,577
43717,-6185149.0,-70.37053265719577,577
43817,-6185149.0,-71.69057850988864,577
43918,-6185149.0,-71.69057850988864,577
44018,-6306453.0,-71.69057850988864,577
44118,-6306453.0,-71.69057850988864,577
44217,-6306453.0,-71.69057850988864,577
44317,-6306453.0,-71.69057850988864,478
44417,-6306453.0,-71.69057850988864,478
44518,-6306453.0,-71.69057850988864,478
44618,-6306453.0,-71.69057850988864,478
44720,-6429921.0,-73.1056658358153,478
44817,-6429921.0,-73.1056658358153,478
44917,-6429921.0,-73.1056658358153,478
45017,-6429921.0,-73.1056658358153,478
45117,-6429921.0,-73.1056658358153,478
45219,-6429921.0,-73.1056658358153,478
45316,-6429921.0,-73.1056658358153,478
45418,-6429921.0,-74.49542171834699,478
45517,-6429921.0,-74.49542171834699,478
45616,-6546433.0,-74.49542171834699,478
45717,-6546433.0,-74.49542171834699,478
45817,-6546433.0,-74.49542171834699,478
45919,-6546433.0,-74.49542171834699,478
46018,-6546433.0,-74.49542171834699,478
46117,-6546433.0,-75.94358731609522,478
46217,-6546433.0,-75.94358731609522,478
46317,-6674888.0,-75.94358731609522,379
46417,-6674888.0,-75.94358731609522,379
46517,-6674888.0,-75.94358731609522,379
46618,-6674888.0,-75.94358731609522,379
46720,-6674888.0,-75.94358731609522,379
46817,-6674888.0,-75.94358731609522,379
46917,-6674888.0,-75.94358731609522,379
47018,-6793953.0,-77.30235588492049,379
47117,-6793953.0,-77.30235588492049,379
47218,-6793953.0,-77.30235588492049,379
47317,-6793953.0,-77.30235588492049,379
47418,-6793953.0,-77.30235588492049,379
47517,-6793953.0,-78.5448877493448,379
47617,-6793953.0,-78.5448877493448,379
47717,-6902119.0,-78.5448877493448,379
47816,-6902119.0,-78.5448877493448,379
47917,-6902119.0,-78.5448877493448,379
48017,-6902119.0,-78.5448877493448,379
48118,-6902119.0,-78.5448877493448,379
48217,-6902119.0,-78.5448877493448,278
48317,-6902119.0,-78.5448877493448,278
48416,-7025822.0,-79.95797552516133,278
48518,-7025822.0,-79.95797552516133,278
48618,-7025822.0,-79.95797552516133,278
48717,-7025822.0,-79.95797552516133,278
48818,-7025822.0,-79.95797552516133,278
48919,-7025822.0,-79.95797552516133,278
49018,-7025822.0,-81.31552151191929,278
49118,-7025822.0,-81.31552151191929,278
49218,-7025822.0,-81.31552151191929,278
49316,-7145516.0,-81.31552151191929,278
49417,-7145516.0,-81.31552151191929,278
49517,-7145516.0,-81.31552151191929,278
49617,-7145516.0,-81.31552151191929,278
49717,-7249839.0,-82.54766714177163,278
49816,-7249839.0,-82.54766714177163,278
49917,-7249839.0,-82.54766714177163,278
50017,-7249839.0,-82.54766714177163,278
50117,-7249839.0,-82.54766714177163,278
50217,-7249839.0,-82.54766714177163,171
50318,-7249839.0,-82.54766714177163,171
50416,-7249839.0,-83.91365694299456,171
50518,-7249839.0,-83.91365694299456,171
50616,-7375884.0,-83.91365694299456,171
50717,-7375884.0,-83.91365694299456,171
50817,-7375884.0,-83.91365694299456,171
50918,-7375884.0,-83.91365694299456,171
51018,-7375884.0,-83.91365694299456,171
51118,-7375884.0,-85.34742577994997,171
51218,-7375884.0,-85.34742577994997,171
51317,-7493976.0,-85.34742577994997,171
51417,-7493976.0,-85.34742577994997,171
51519,-7493976.0,-85.34742577994997,171
51617,-7493976.0,-85.34742577994997,171
51716,-7493976.0,-85.34742577994997,171
51817,-7493976.0,-86.5430310597901,171
51917,-7493976.0,-86.5430310597901,171
52017,-7604271.0,-86.5430310597901,70
52117,-7604271.0,-86.5430310597901,70
52217,-7604271.0,-86.5430310597901,70
52317,-7604271.0,-86.5430310597901,70
52420,-7604271.0,-86.5430310597901,70
52516,-7604271.0,-87.89297875612962,70
52618,-7604271.0,-87.89297875612962,70
52716,-7723543.0,-87.89297875612962,70
52817,-7723543.0,-87.89297875612962,70
52917,-7723543.0,-87.89297875612962,70
