Time,axis_1_actual_position,axis_1_raw_position_resolver_motor,raw_position_1_ext
95210,209.7845922632373,14687626.0,1356
95309,209.7845922632373,14687626.0,1356
95410,209.7845922632373,14805255.0,1356
95510,209.7845922632373,14805255.0,1356
95611,209.7845922632373,14805255.0,1356
95710,209.7845922632373,14805255.0,1356
95810,209.7845922632373,14805255.0,1356
95910,211.49999048286531,14805255.0,1356
96010,211.49999048286531,14805255.0,1356
96110,211.49999048286531,14921294.0,1356
96210,211.49999048286531,14921294.0,1356
96310,211.49999048286531,14921294.0,1356
96411,211.49999048286531,14921294.0,1356
96511,211.49999048286531,14921294.0,1356
96610,213.12385158394193,14921294.0,1356
96710,213.12385158394193,14921294.0,1356
96810,213.12385158394193,15046610.0,1356
96910,213.12385158394193,15046610.0,1356
97010,213.12385158394193,15046610.0,1404
97111,213.12385158394193,15046610.0,1404
97211,213.12385158394193,15046610.0,1404
97311,214.8717449128076,15046610.0,1404
97409,214.8717449128076,15046610.0,1404
97509,214.8717449128076,15164236.0,1404
97610,214.8717449128076,15164236.0,1404
97710,214.8717449128076,15164236.0,1404
97810,214.8717449128076,15164236.0,1404
97910,214.8717449128076,15164236.0,1404
98011,216.50193752053337,15164236.0,1404
98110,216.50193752053337,15164236.0,1404
98210,216.50193752053337,15278437.0,1404
98310,216.50193752053337,15278437.0,1404
98410,216.50193752053337,15278437.0,1404
98509,216.50193752053337,15278437.0,1404
98611,216.50193752053337,15278437.0,1404
98711,218.01594840086696,15278437.0,1404
98811,218.01594840086696,15278437.0,1404
98911,218.01594840086696,15385591.0,1404
99011,218.01594840086696,15385591.0,1404
99109,218.01594840086696,15385591.0,1404
99210,218.01594840086696,15385591.0,1453
99310,218.01594840086696,15385591.0,1453
99410,219.76774568562618,15385591.0,1453
99510,219.76774568562618,15385591.0,1453
99610,219.76774568562618,15510505.0,1453
99710,219.76774568562618,15510505.0,1453
99810,219.76774568562618,15510505.0,1453
99910,219.76774568562618,15510505.0,1453
100011,219.76774568562618,15510505.0,1453
100110,221.31527380183135,15510505.0,1453
100211,221.31527380183135,15510505.0,1453
100310,221.31527380183135,15616817.0,1453
100410,221.31527380183135,15616817.0,1453
100510,221.31527380183135,15616817.0,1453
100610,221.31527380183135,15616817.0,1453
100711,221.31527380183135,15616817.0,1453
100810,222.83608466352135,15721083.0,1453
100910,222.83608466352135,15721083.0,1453
101010,222.83608466352135,15721083.0,1501
101110,222.83608466352135,15721083.0,1501
101210,222.83608466352135,15721083.0,1501
101311,222.83608466352135,15721083.0,1501
101410,222.83608466352135,15721083.0,1501
101510,224.60280215789555,15721083.0,1501
101610,224.60280215789555,15721083.0,1501
101710,224.60280215789555,15851130.0,1501
101810,224.60280215789555,15851130.0,1501
101910,224.60280215789555,15851130.0,1501
102009,224.60280215789555,15851130.0,1501
102112,224.60280215789555,15851130.0,1501
102209,226.2957987687962,15851130.0,1501
102310,226.2957987687962,15851130.0,1501
102411,226.2957987687962,15968386.0,1501
102510,226.2957987687962,15968386.0,1501
102610,226.2957987687962,15968386.0,1501
102709,226.2957987687962,15968386.0,1501
102810,226.2957987687962,15968386.0,1501
102910,227.8336592705886,15968386.0,1548
103010,227.8336592705886,15968386.0,1548
103109,227.8336592705886,16073624.0,1548
103210,227.8336592705886,16073624.0,1548
103310,227.8336592705886,16073624.0,1548
103414,227.8336592705886,16073624.0,1548
103512,227.8336592705886,16073624.0,1548
103610,229.46808234688268,16073624.0,1548
103710,229.46808234688268,16073624.0,1548
103811,229.46808234688268,16193052.0,1548
103911,229.46808234688268,16193052.0,1548
104010,229.46808234688268,16193052.0,1548
104111,229.46808234688268,16193052.0,1548
104211,229.46808234688268,16193052.0,1548
104310,231.18633400336384,16193052.0,1548
104410,231.18633400336384,16193052.0,1548
104509,231.18633400336384,16311132.0,1548
104610,231.18633400336384,16311132.0,1548
104709,231.18633400336384,16311132.0,1548
104810,231.18633400336384,16311132.0,1548
104910,231.18633400336384,16311132.0,1548
105009,232.71134694121562,16311132.0,1596
105110,232.71134694121562,16311132.0,1596
105211,232.71134694121562,16421662.0,1596
105310,232.71134694121562,16421662.0,1596
105410,232.71134694121562,16421662.0,1596
105510,232.71134694121562,16421662.0,1596
105611,232.71134694121562,16421662.0,1596
105710,234.3552530812802,16421662.0,1596
105809,234.3552530812802,16421662.0,1596
105910,234.3552530812802,16538924.0,1596
106011,234.3552530812802,16538924.0,1596
106114,234.3552530812802,16538924.0,1596
106210,234.3552530812802,16538924.0,1596
106311,234.3552530812802,16538924.0,1596
106410,236.14870202637286,16538924.0,1596
106510,236.14870202637286,16538924.0,1596
106610,236.14870202637286,16664608.0,1596
106711,236.14870202637286,16664608.0,1596
106810,236.14870202637286,16664608.0,1596
106909,236.14870202637286,16664608.0,1644
107010,236.14870202637286,16664608.0,1644
